"name","latitude","longitude","rating","rating_count"
"水岸-森林物語","24.6837326","121.7318603","5","364"
"大風吹手作館-親子景點、手作體驗、雨天行程","24.6834118","121.7336761","4.8","1863"
"Dr. Foot Tourism Factory","24.6938034","121.77573","4.7","1446"
"Chen Ding-Nan Memorial Park","24.6891594","121.7159016","4.6","1239"
"Rabbit Pencil School","24.692587","121.764932","4.6","2562"
"羅東運動公園 東丘 落羽松","24.6827656","121.7575195","4.5","11396"
"邱比準 Cupishoot 射擊博物館","24.6606545","121.7832666","4.5","6463"
"梅花湖/六萬車行","24.64619669999999","121.7311257","4.5","146"
"Luodong Forestry Culture Park","24.684278","121.772358","4.4","22377"
"Dongshan River old river electric boat boarding place","24.6381737","121.7899337","4.4","373"
"安農溪","24.6696577","121.6830203","4.6","73"
